Year,Area (use fill down),Street (use find and replace to replace the odd character with a space),Street 2 (in Refine use titlecase and cluster and edit),Strange HTML (use unescape HTML)
2011,,TennantåSt,Tennant St,
2011,," TerraceåRoad,åHandsworth"," Terrace Road, Handsworth",
2011,,tescoåastonålane,tesco aston lane,
2011,,TescoåSpringHill,Tesco SpringHill,
2011,,TheåParadeåSuttonåColdfield,The Parade Sutton Coldfield,
2011,," TheåParade,åSuttonåColdfield"," The Parade, Sutton Coldfield",
2011,," TheåRamp,åCorporationåSt,åBirmingham"," The Ramp, Corporation St, Birmingham",
2011,,TheåRamp.,The Ramp.,
2011,," ThornhillåRoad,åBirmingham"," Thornhill Road, Birmingham",
2011,," ThornhillåRoad,åHandsworth"," Thornhill Road, Handsworth",
2011,,ThorpeåStåatåHurståSt,Thorpe St at Hurst St,
2011,,ThorpeåStreet,Thorpe Street,
2011,,TrocaderoåPublicåhouseåo/s,Trocadero Public house o/s,
2011,," TurnersåPallets,åHayholeåroad"," Turners Pallets, Hayhole road",
2011,,upperådeanåstreet,upper dean street,
2011,," UpperåDeanåStreet,åBirmingham"," Upper Dean Street, Birmingham",
2011,," UpperåDeanåStreet,åBirminghamåCityåCentre"," Upper Dean Street, Birmingham City Centre",
2011,," UpperåDeanåStreet,åCityåCentre"," Upper Dean Street, City Centre",
2011,,UpperåparadeåSuttonåColdfield,Upper parade Sutton Coldfield,
2011,,UpperåParadeåSuttonåColdfield,Upper Parade Sutton Coldfield,
2011,," victoriaåsquare,ååbham"," victoria square,  bham",
2011,," VictoriaåSquare,åCityåCentre."," Victoria Square, City Centre.",
2011,," Waiverleyåpark,Handsworth"," Waiverley park,Handsworth",
2011,,walkaboutåbaråbroadåst,walkabout bar broad st,
2011,," WalkaboutåPH,åBroadåSt,åBirmingham"," Walkabout PH, Broad St, Birmingham",
2011,," WalkaboutåPH,åBroadåStreet,åBirmingham"," Walkabout PH, Broad Street, Birmingham",
2011,," Walkabout,åBroadåStreet"," Walkabout, Broad Street",
2011,," Walsallåroad,åågreatåbarr"," Walsall road,  great barr",
2011,," WalsallåRoad,åPerryåBarr"," Walsall Road, Perry Barr",
2011,,warfåroadåkingsånorton,warf road kings norton,
2011,,WarwardsåLane,Warwards Lane,
2011,," WashingtonåDrive,åHandsworthåWood"," Washington Drive, Handsworth Wood",
2011,,WashingtonåStreet,Washington Street,
2011,," WaterlooåRoad,åSmethwick"," Waterloo Road, Smethwick",
2011,," WaverhillåPark,åHandsworth"," Waverhill Park, Handsworth",
2011,," WaverhillåRoad,åHandsworth"," Waverhill Road, Handsworth",
2011,,wayåentranceåvillaåground,way entrance villa ground,
2011,,WellingtonåRoad,Wellington Road,
2011,,WittonåArms,Witton Arms,
2011,,WittonåRoad,Witton Road,
2011,,WittonåRoad,Witton Road,
2011,,WittonåRoadåAston,Witton Road Aston,
2011,,WrottesleyåStreet,Wrottesley Street,
2011,Coventry,primroseåhillåCoventry,primrose hill Coventry,
2011,,Albanyåroad,Albany road,
2011,,AldbourneåRoad,Aldbourne Road,
2011,,aldermansågreenåroad,aldermans green road,
2011,,AllesleyåOldåRoad,Allesley Old Road,
2011,,AlmondåTreeåAvenue,Almond Tree Avenue,
2011,,arburyåaveåCoventry,arbury ave Coventry,
2011,,ArenaåcarparkåA444,Arena carpark A444,
2011,,argyleåståCoventry,argyle st Coventry,
2011,,ArmstrongåAvenueåStoke,Armstrong Avenue Stoke,
2011,,AshorneåClose,Ashorne Close,
2011,,AttoxhallåRd,Attoxhall Rd,
2011,," averleyåroadå,ådaimlerågreen"," averley road , daimler green",
2011,,AwsonåStreet,Awson Street,
2011,," BandalsåSurgery,åFoleshillåRoad"," Bandals Surgery, Foleshill Road",
2011,,bellågreenårdåJunctionåA444,bell green rd Junction A444,
2011,," BellåGreenåRoad,åCoventry"," Bell Green Road, Coventry",
2011,," BellåGreenåRoad,åCoventry"," Bell Green Road, Coventry",
2011,,BinleyåRoad,Binley Road,
2011,,BinleyåRoad,Binley Road,
2011,,BinleyåRoad,Binley Road,
2011,,BinleyåRoad,Binley Road,
2011,,bishopåstreet,bishop street,
2011,,Blackhorseålane,Blackhorse lane,
2011,,BlytheåRoad,Blythe Road,
2011,,BPåGarageåAnstyåroad,BP Garage Ansty road,
2011,,brambleåståcoventry,bramble st coventry,
2011,," BraodåParkåRoad,åCoventry"," Braod Park Road, Coventry",
2011,," BredonåAve,åCoventry"," Bredon Ave, Coventry",
2011,,Broadgate,Broadgate,
2011,,BullåYard,Bull Yard,
2011,,BushberryåAvenue,Bushberry Avenue,
2011,,buttsåroadåCoventry,butts road Coventry,
2011,,cashsålane,cashs lane,
2011,,Cauldonåroad,Cauldon road,
2011,,CharteråAve,Charter Ave,
2011,,charteråaveåCoventry,charter ave Coventry,
2011,,ChesteråStreet,Chester Street,
2011,,ChestertonåRoad,Chesterton Road,
2011,," CheveralåAve,åCoventry"," Cheveral Ave, Coventry",
2011,,CliffbridgeåRoad,Cliffbridge Road,
2011,," CliftonåStå,Coventry."," Clifton St ,Coventry.",
2011,,Cocåstreet,Coc street,
2011,," CommunalålandingåatåGeorgeåPooleåHouse,åCoventry"," Communal landing at George Poole House, Coventry",
2011,,Comptonåroad,Compton road,
2011,,concourseånearåmortimers,concourse near mortimers,
2011,,cookåst,cook st,
2011,,CorporationåSt,Corporation St,
2011,," CorporationåStå,Coventry."," Corporation St ,Coventry.",
2011,,CorporationåStreet,Corporation Street,
2011,,Coundonåroad,Coundon road,
2011,,coventry,coventry,
2011,,CoventryåCentralåcells,Coventry Central cells,
2011,,CoventryåCentralåFrontåoffice,Coventry Central Front office,
2011,,coventryåcentralåpolåstn,coventry central pol stn,
2011,,coventryåcentralåpoliceåstation,coventry central police station,
2011,,coventryåcentralåpoliceåstation,coventry central police station,
2011,,CoventryåCentralåPS,Coventry Central PS,
2011,,CoventryåCentralåPS,Coventry Central PS,
2011,,CoventryåRailwatåStation.,Coventry Railwat Station.,
2011,,CoventryåRailwayåStation.,Coventry Railway Station.,
2011,,coventryåtrainåstation,coventry train station,
2011,,Coxåstreet,Cox street,
2011,,CrossåRoad,Cross Road,
2011,,devonshireåarms,devonshire arms,
2011,,duckhamåcourt,duckham court,
2011,,EarlsdonåHighåStreet,Earlsdon High Street,
2011,," ElmsåPub,åBirminghamåroad"," Elms Pub, Birmingham road",
2011,,fairfaxåstreet,fairfax street,
2011,,farågosfordåstreet,far gosford street,
2011,,FaråGosfordåStreet,Far Gosford Street,
2011,,FarndaleåAve,Farndale Ave,
2011,,FarndaleåAve,Farndale Ave,
2011,,FoleshillåRd,Foleshill Rd,
2011,,FoleshillåRoad,Foleshill Road,
2011,,FoleshillåRoad,Foleshill Road,
2011,,FoleshillåRoad,Foleshill Road,
2011,," Foleshillåroad,åCoventry"," Foleshill road, Coventry",
2011,," FouråPoundsåAve,åCoventry"," Four Pounds Ave, Coventry",
2011,,FRiarsåroad,FRiars road,
2011,,frontåofåCoventryåCentralåpoliceåStation,front of Coventry Central police Station,
2011,,Frontåoffice,Front office,
2011,,FrontåOffice,Front Office,
2011,," GalaåBingo,åPoolåMeadow"," Gala Bingo, Pool Meadow",
2011,,GosfordåStreet,Gosford Street,
2011,,Gosfordåstreet,Gosford street,
2011,,GosfordåStreet,Gosford Street,
2011,,greyfriarsåståCoventry,greyfriars st Coventry,
2011,,gulsonåroadåCoventry,gulson road Coventry,
2011,,GulsonåRoadåCoventry,Gulson Road Coventry,
2011,,haleåst,hale st,
2011,," HalesåStreet,åCoventry"," Hales Street, Coventry",
2011,,Hartfrodåstreet,Hartfrod street,
2011,,hayleåstreet,hayle street,
2011,,haylesåstreet,hayles street,
2011,,HedgefieldåWay,Hedgefield Way,
2011,,heraldåwayåCoventry,herald way Coventry,
2011,,highåståCoventry,high st Coventry,
2011,,HighåStreet,High Street,
2011,,HighåStreet,High Street,
2011,,HillåStreet,Hill Street,
2011,,HipswellåHighway,Hipswell Highway,
2011,,holmesdaleåroad,holmesdale road,
2011,,hurståRoad,hurst Road,
2011,,ibisåhotel,ibis hotel,
2011,,IkeaåCaråPark,Ikea Car Park,
2011,,ikeaåplaza,ikea plaza,
2011,,ironåmongerårow,iron monger row,
2011,,jardineåcrescent,jardine crescent,
2011,,jardineåcrescent,jardine crescent,
2011,,JasrdineåCrescent,Jasrdine Crescent,
2011,,JDåWetherspoonåEarlsdon,JD Wetherspoon Earlsdon,
2011,,JordanåWell,Jordan Well,
2011,," JordanåWellå,åCoventry"," Jordan Well , Coventry",
2011,,Jubileeåcresent,Jubilee cresent,
2011,,KirbyåRoad,Kirby Road,
2011,,LadyåLane,Lady Lane,
2011,,LambethåClose,Lambeth Close,
2011,,LeaderåClose,Leader Close,
2011,,LidiceåPlace,Lidice Place,
2011,," LincolnåStreetå,Coventry"," Lincoln Street ,Coventry",
2011,,LittlåParkåStreet,Littl Park Street,
2011,," Littleåparkåstå,Coventry."," Little park st ,Coventry.",
2011,," LittleåParkåStå,Coventry."," Little Park St ,Coventry.",
2011,,littleåparkåståCoventry,little park st Coventry,
2011,,LittleåParkåStreet,Little Park Street,
2011,,LittleåParkåStreet,Little Park Street,
2011,,LittleåParkåstreet,Little Park street,
2011,,littleåparkåstreet,little park street,
2011,,LittleåParkåStreet,Little Park Street,
2011,,LittleåParkåStreet,Little Park Street,
2011,,LittleåParkåStreet,Little Park Street,
2011,,LittleåParkåStreet,Little Park Street,
2011,,littleåparkåstreet,little park street,
2011,,LondonåRoad,London Road,
2011,,LondonåRoad,London Road,
2011,,LongfordåRoad,Longford Road,
2011,,LoweråFordåst,Lower Ford st,
2011,,loweråfordåstreet,lower ford street,
2011,,loweråholyheadådåjtnåwithåsponåst,lower holyhead d jtn with spon st,
2011,,loweråholyheadårdåCoventry,lower holyhead rd Coventry,
2011,,loweråholyheadåroadåCoventry,lower holyhead road Coventry,
2011,,LoweråPrecinctåCoventry,Lower Precinct Coventry,
2011,,MAFO,MAFO,
2011,,Manoråhouseådrive,Manor house drive,
2011,,MarketåWay,Market Way,
2011,,maryåslessoråst,mary slessor st,
2011,,masseråroad,masser road,
2011,," McDonaldsåRestaurantåA45å,Coventry."," McDonalds Restaurant A45 ,Coventry.",
2011,," MemorialåPark,åCoventry"," Memorial Park, Coventry",
2011,,MiddleåRide,Middle Ride,
2011,,MileåLane,Mile Lane,
2011,,Mileålane,Mile lane,
2011,,MilleniumåPlace,Millenium Place,
2011,,MilleniumåPlace,Millenium Place,
2011,," MintåCasino,åKingåWilliamåStreet"," Mint Casino, King William Street",
2011,,MirandaåClose,Miranda Close,
2011,,morrisåroad,morris road,
2011,,motoråmuseum,motor museum,
2011,,newåunionåst,new union st,
2011,,Normanåplaceåroad,Norman place road,
2011,,NorthyåRoad,Northy Road,
2011,,o/såCCFO,o/s CCFO,
2011,,o/såcoventryåcentralåpoliceåstation,o/s coventry central police station,
2011,,o/såGosfordåArms,o/s Gosford Arms,
2011,,OakåGosfordåStreet,Oak Gosford Street,
2011,,OutsideåCoventryåCentralåPS,Outside Coventry Central PS,
2011,,OutsideåFoleshillåPS,Outside Foleshill PS,
2011,,OutsideåfrontåofåCoventryåCentralåPoliceåStation.,Outside front of Coventry Central Police Station.,
2011,,OutsideåheatåBar,Outside heat Bar,
2011,,outsideåkasbars,outside kasbars,
2011,," OutsideåofåtheåJewsonåStand,åRichoåarena,åCoventry"," Outside of the Jewson Stand, Richo arena, Coventry",
2011,,owenfordåroad,owenford road,
2011,," PalmåTreeåAve,åWoodåEnd"," Palm Tree Ave, Wood End",
2011,," PalmeråLaneå,åCoventry."," Palmer Lane , Coventry.",
2011,," PalmeråLaneå,åCoventry."," Palmer Lane , Coventry.",
2011,," PalmeråLaneå,åCoventry."," Palmer Lane , Coventry.",
2011,," PenruddickåDrive,åCoventry"," Penruddick Drive, Coventry",
2011,,Plymouthåclose,Plymouth close,
2011,,poolåmeadow,pool meadow,
2011,,PoolåMeadowåBusåStation,Pool Meadow Bus Station,
2011,,poolåmeadowåbusåstn,pool meadow bus stn,
2011,,Poolmeadow,Poolmeadow,
2011,,Poolmeadowåbusåstation,Poolmeadow bus station,
2011,,Poolmeadowåbusåstation,Poolmeadow bus station,
2011,," PoppyåCourt,åRemembranceåRoad,åWillenhall,åCoventry"," Poppy Court, Remembrance Road, Willenhall, Coventry",
2011,,PrimroseåHillåSt,Primrose Hill St,
2011,,PrimroseåHillåStreet,Primrose Hill Street,
2011,,PrimroseåHillåStreet,Primrose Hill Street,
2011,," PrimroseåHillåStreetå,Coventry."," Primrose Hill Street ,Coventry.",
2011,,Princethorpeåway,Princethorpe way,
2011,," PrioryåFields,åCoventry"," Priory Fields, Coventry",
2011,,PrioryåGardens,Priory Gardens,
2011,,PrioryåStreet,Priory Street,
2011,,pumaåway,puma way,
2011,," QueenåMary'såRoadå,Foleshillå,Coventry."," Queen Mary's Road ,Foleshill ,Coventry.",
2011,,queenåmarysåroadåCoventry,queen marys road Coventry,
2011,,QueenåVictoriaåRoad,Queen Victoria Road,
2011,,RadfordåRoad,Radford Road,
2011,,Radfordåroad,Radford road,
2011,,raglanåstreet,raglan street,
2011,,Redålane,Red lane,
2011,,RemembranceåRoad,Remembrance Road,
2011,,richoåareana,richo areana,
2011,,richoåareana,richo areana,
2011,," Richoåarena,åCoventry"," Richo arena, Coventry",
2011,,RicohåArena,Ricoh Arena,
2011,,RicohåArena,Ricoh Arena,
2011,,RicohåArena,Ricoh Arena,
2011,," Ridgethorpe,åWillenhall,åCoventry"," Ridgethorpe, Willenhall, Coventry",
2011,," RileysåSquare,åBellåGreen"," Rileys Square, Bell Green",
2011,,RingåRd,Ring Rd,
2011,,RiverwalkåWalkåWoodåEnd,Riverwalk Walk Wood End,
2011,," RolandåAvenueå,Holbrookså,Coventry."," Roland Avenue ,Holbrooks ,Coventry.",
2011,,rotherhanmåroad,rotherhanm road,
2011,," Sainsburyså,TrinityåStå,Coventry."," Sainsburys ,Trinity St ,Coventry.",
2011,,ScotsåLane,Scots Lane,
2011,,SewallåHighway,Sewall Highway,
2011,,sewallåhighway,sewall highway,
2011,,sewallåhighwayåCoventry,sewall highway Coventry,
2011,," SilveråStreetå,Coventry."," Silver Street ,Coventry.",
2011,,SkyåBlueåWay,Sky Blue Way,
2011,,skyådome,sky dome,
2011,,skyådome,sky dome,
2011,,skyådome,sky dome,
2011,,skyådome,sky dome,
2011,,skyådome,sky dome,
2011,,skyådome,sky dome,
2011,,Skyådome,Sky dome,
2011,,Skyådome,Sky dome,
2011,,SkyåDomeåConcourse,Sky Dome Concourse,
2011,,SkyåDomeåConcourse,Sky Dome Concourse,
2011,,SkyåDomeåConcourse,Sky Dome Concourse,
2011,,skyådomeåconcourse,sky dome concourse,
2011,,skyådomeåconcourse,sky dome concourse,
2011,,skyådomeåconcourseåCovenmtry,sky dome concourse Covenmtry,
2011,,skyådomeåconcourseåCoventry,sky dome concourse Coventry,
2011,,SkyåDomeåconcourse.,Sky Dome concourse.,
2011,," SkyåDome,åCoventry"," Sky Dome, Coventry",
2011,," SkyåDome,åCoventryåCityåcentre"," Sky Dome, Coventry City centre",
2011,,SkyåDome.,Sky Dome.,
2011,,skyådome.,sky dome.,
2011,,skyådome.,sky dome.,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,skydome,skydome,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,," Skydomeå,åCoventry."," Skydome , Coventry.",
2011,,SkydomeåCaråPark,Skydome Car Park,
2011,,SkydomeåCaråPark,Skydome Car Park,
2011,,Skydomeåcomplex,Skydome complex,
2011,,SkydomeåComplex,Skydome Complex,
2011,,skydomeåcomplex,skydome complex,
2011,," SkydomeåComplex,åCoventry"," Skydome Complex, Coventry",
2011,,Skydomeåconcourse,Skydome concourse,
2011,,Skydomeåconcourse,Skydome concourse,
2011,,Skydomeåconcourse,Skydome concourse,
2011,,SkydomeåConcourse,Skydome Concourse,
2011,,SkydomeåConcourse,Skydome Concourse,
2011,,SkydomeåConcourse,Skydome Concourse,
2011,,Skydomeåconcourse,Skydome concourse,
2011,,Skydomeåconcourse,Skydome concourse,
2011,,skydomeåconcourse,skydome concourse,
2011,,Skydomeåconcourse,Skydome concourse,
2011,,Skydomeåconcourse,Skydome concourse,
2011,,Skydomeåconcourse,Skydome concourse,
2011,,SkydomeåConcourse,Skydome Concourse,
2011,,SkydomeåConcourse,Skydome Concourse,
2011,,Skydomeåconcourse,Skydome concourse,
2011,," Skydomeåconcourseå,Coventry"," Skydome concourse ,Coventry",
2011,,Skydomeåconcourse...,Skydome concourse...,
2011,,skydomeåCoventry,skydome Coventry,
2011,,SkydomeåCoventry,Skydome Coventry,
2011,,SkydomeåCoventryåCityåCentre,Skydome Coventry City Centre,
2011,," SkyDome,åCoventry"," SkyDome, Coventry",
2011,," Skydome,åCoventry"," Skydome, Coventry",
2011,,sorellåClose,sorell Close,
2011,," SouthbankåRoadå,Coventry."," Southbank Road ,Coventry.",
2011,,spomåståcoventry,spom st coventry,
2011,,SponåEnd,Spon End,
2011,," SponåEnd,åCoventry"," Spon End, Coventry",
2011,," SponåStå,Coventry"," Spon St ,Coventry",
2011,," SponåStå,Coventry."," Spon St ,Coventry.",
2011,,SPONåSTåCoventry,SPON ST Coventry,
2011,,sponåståCoventry,spon st Coventry,
2011,,sponåståCoventry,spon st Coventry,
2011,,sponåståCoventry,spon st Coventry,
2011,,sponåståCoventry,spon st Coventry,
2011,,sponåståCoventry,spon st Coventry,
2011,,sponåståCoventry,spon st Coventry,
2011,,Sponåstreet,Spon street,
2011,,SponåSTreet,Spon STreet,
2011,,SponåStreet,Spon Street,
2011,,sponåstreet,spon street,
2011,,sponåstreet,spon street,
2011,,SponåSTreet,Spon STreet,
2011,,Stågeorgesåroad,St georges road,
2011,," StåGeorgesåRoad,åStoke"," St Georges Road, Stoke",
2011,,StåLukesåRoadåCoventry,St Lukes Road Coventry,
2011,,StonetåStantonåRoadåPoliceåStation,Stonet Stanton Road Police Station,
2011,," StoneyåStantonåRoadåPoliceåStation,åCoventry"," Stoney Stanton Road Police Station, Coventry",
2011,,SwanswellåPark,Swanswell Park,
2011,,TachbrookåClose,Tachbrook Close,
2011,," TarquinåClose,åCoventry"," Tarquin Close, Coventry",
2011,,TerryåRoad,Terry Road,
2011,," TerryåRoad,åCoventry"," Terry Road, Coventry",
2011,,TheåBullåYardåCityåCentre,The Bull Yard City Centre,
2011,,TheåBullyard,The Bullyard,
2011,,TheåBurges,The Burges,
2011,,TheåBurgess,The Burgess,
2011,,TheåBurgess,The Burgess,
2011,,theåburgess,the burgess,
2011,,theåbuttsåCoventry,the butts Coventry,
2011,,TheåButtsåRetreatåPH,The Butts Retreat PH,
2011,,TheåCroftåLongford,The Croft Longford,
2011,," TheåForumåmedicalåcentre,åCoventry"," The Forum medical centre, Coventry",
2011,,ThimbleråRoad,Thimbler Road,
2011,,tileåhillålaneåcoventry,tile hill lane coventry,
2011,,TorringtonåAvenue,Torrington Avenue,
2011,,TrinityåpointåLink,Trinity point Link,
2011,,trinityåstreet,trinity street,
2011,,trinityåstreet,trinity street,
2011,,TrinityåStreet,Trinity Street,
2011,,trinityåstreetåcityåcentreåcoventry,trinity street city centre coventry,
2011,,UniversityåHospital,University Hospital,
2011,,UniversityåHospital,University Hospital,
2011,,UniversityåHospitalåCoventry,University Hospital Coventry,
2011,," UnniversityåofåWarwick,åCoventry"," Unniversity of Warwick, Coventry",
2011,,upperåsponåst,upper spon st,
2011,,VineåStreet,Vine Street,
2011,,VineåStreet,Vine Street,
2011,,VinecoteåRoad,Vinecote Road,
2011,,WallaceåRd,Wallace Rd,
2011,,Walsgraveåhospital,Walsgrave hospital,
2011,,WarwickåRow,Warwick Row,
2011,,Warwickåuniversity,Warwick university,
2011,,WeståOrchard,West Orchard,
2011,,WeståOrchardsåCirculatoryåRoad,West Orchards Circulatory Road,
2011,,Whiteåstreet,White street,
2011,,willenhallålaneåcoventry,willenhall lane coventry,
2011,,WillenhallåPoliceåStationåFrontåOffice,Willenhall Police Station Front Office,
2011,,WillenhallåPS,Willenhall PS,
2011,,Winnalthorpe,Winnalthorpe,
2011,,woodåwayålaneåCoventry,wood way lane Coventry,
2011,,WroxallåDrive,Wroxall Drive,
2011,,WroxhallåDrive,Wroxhall Drive,
2011,Dudley,albionåstreetåbrierleyåhill,albion street brierley hill,
2011,,AmblecoteåHighåStreetåStourbridge,Amblecote High Street Stourbridge,
2011,,ArleyåCourt,Arley Court,
2011,,BaptiståEndåRoadåNetherton.,Baptist End Road Netherton.,
2011,," BellåSt,åStourbridge"," Bell St, Stourbridge",
2011,,bellåstreet,bell street,
2011,," BellåStreet,Stourbridge"," Bell Street,Stourbridge",
2011,,BHPS,BHPS,
2011,," BirminghamåStreet,åStourbridge"," Birmingham Street, Stourbridge",
2011,,BramfordåArms,Bramford Arms,
2011,,BrettleåLane,Brettle Lane,
2011,,BrickhouseåRoad,Brickhouse Road,
2011,," BrisbaneåRoad,åSmethwick"," Brisbane Road, Smethwick",
2011,,BroadwayåStourbridge,Broadway Stourbridge,
2011,," Broadway,åStourbridge"," Broadway, Stourbridge",
2011,," Broadway,åStourbridge"," Broadway, Stourbridge",
2011,," BurmeseåWay,åRowleyåRegis"," Burmese Way, Rowley Regis",
2011,," Busåstation,ådudley"," Bus station, dudley",
2011,,CarparkåofåMaybrookåHosueåinåHalesowen,Carpark of Maybrook Hosue in Halesowen,
2011,,CarparkåofåtheåBarleyåMowååHighåStreetåWollaston,Carpark of the Barley Mow  High Street Wollaston,
2011,,castlegateådudley,castlegate dudley,
2011,,CinderåBankåIslandåNetherton,Cinder Bank Island Netherton,
2011,,CourtåSt,Court St,
2011,," CourthouseåPH,åsedgeley"," Courthouse PH, sedgeley",
2011,,CrabmillåcarparkåOldswinford,Crabmill carpark Oldswinford,
2011,,CromptonåRoad,Crompton Road,
2011,," CrownåCentre,åstourbridge"," Crown Centre, stourbridge",
2011,,DudleyåBusåStation,Dudley Bus Station,
2011,,dudleyåPoliceåStation,dudley Police Station,
2011,,dudleyåroad,dudley road,
2011,," DudleyåRoad,åBrierleyåHill"," Dudley Road, Brierley Hill",
2011,," EdwardåRutlandåPH,åHighåStreet,åStourbridge"," Edward Rutland PH, High Street, Stourbridge",
2011,,EnvilleåRoad,Enville Road,
2011,,FernåRd,Fern Rd,
2011,," FosteråStreet,Stourbridge"," Foster Street,Stourbridge",
2011,,FrontåOfficeåBHPS,Front Office BHPS,
2011,," Frontåoffice,åStourbridge"," Front office, Stourbridge",
2011,," FrontåOffice,åStourbridgeåPoliceåstation."," Front Office, Stourbridge Police station.",
2011,,HagleyåRoad,Hagley Road,
2011,," HalesowenåRd,åNetherton"," Halesowen Rd, Netherton",
2011,,halesowenåtownåcentre,halesowen town centre,
2011,," HampdenåClose,QuarryåBank"," Hampden Close,Quarry Bank",
2011,," HerefordåRoad,åNetherton"," Hereford Road, Netherton",
2011,,HighåStåStourbridge,High St Stourbridge,
2011,,highåståstourbridge,high st stourbridge,
2011,,highåståstourbridge,high st stourbridge,
2011,,highåståstourbridge,high st stourbridge,
2011,," HighåSt,åDudley"," High St, Dudley",
2011,," HighåSt,åSedgely"," High St, Sedgely",
2011,," HighåSt,åStourbridge"," High St, Stourbridge",
2011,," HighåSt,åStourbridge"," High St, Stourbridge",
2011,," HighåSt,åStourbridge"," High St, Stourbridge",
2011,," HighåSt,åStourbridge"," High St, Stourbridge",
2011,," HighåSt,åStourbridge"," High St, Stourbridge",
2011,,HighåStreet,High Street,
2011,,HighåStreet,High Street,
2011,,HighåStreet,High Street,
2011,," HighåStreetå,åBrierleyåHill"," High Street , Brierley Hill",
2011,,HighåStreetåBlackHeath,High Street BlackHeath,
2011,,HighåStreetåquarryåbank,High Street quarry bank,
2011,,highåstreetåstourbridge,high street stourbridge,
2011,,HighåStreetåStourbridge,High Street Stourbridge,
2011,,HighåStreetåStourbridge,High Street Stourbridge,
2011,,HighåStreetåStourbridge.,High Street Stourbridge.,
2011,,HighåStreetåWeståBromwich,High Street West Bromwich,
2011,," HighåStreet,åAmblecote"," High Street, Amblecote",
2011,," HighåStreet,åSmethwick"," High Street, Smethwick",
2011,," HighåStreet,åStourbridge"," High Street, Stourbridge",
2011,," highåStreet,åStourbridge"," high Street, Stourbridge",
2011,," HighåStreet,åStourbridge"," High Street, Stourbridge",
2011,," highåStreet,åStourbridge"," high Street, Stourbridge",
2011,," HighåStreet,åStourbridge"," High Street, Stourbridge",
2011,," HighåStreet,åStourbridge"," High Street, Stourbridge",
2011,," HighåStreet,åStourbridge"," High Street, Stourbridge",
2011,," HighåStreet,åStourbridge"," High Street, Stourbridge",
2011,," HighåStreet,Halesowen"," High Street,Halesowen",
2011,," HighåViewåSt,åDudley"," High View St, Dudley",
2011,," Hillyålane,åHalesowen"," Hilly lane, Halesowen",
2011,," HimleyåRoad,Gornal"," Himley Road,Gornal",
2011,,Homeåaddress,Home address,
2011,,HopeåTavernåNetherton,Hope Tavern Netherton,
2011,," HurståRd,åOldbury"," Hurst Rd, Oldbury",
2011,," JacksonåStreet,åLye"," Jackson Street, Lye",
2011,," KFC,åMerryåHillåCentre.åDudley"," KFC, Merry Hill Centre. Dudley",
2011,,KingåStåDudley,King St Dudley,
2011,," KingsleyåRoad,Netherton"," Kingsley Road,Netherton",
2011,,LarelåLaneåHalesowen,Larel Lane Halesowen,
2011,," LittleåBarrelåPH,åDudley"," Little Barrel PH, Dudley",
2011,,LloydsåbaråStourbridge,Lloyds bar Stourbridge,
2011,," LongåLane,åHalesowen"," Long Lane, Halesowen",
2011,," LoweråDerryååStreet,åBrierleyåHill"," Lower Derry  Street, Brierley Hill",
2011,," LoweråHighåStreet,åStourbridge"," Lower High Street, Stourbridge",
2011,,LupinåRoad,Lupin Road,
2011,,LyeåhighåSt,Lye high St,
2011,,marketåstreetåkingswinford,market street kingswinford,
2011,," MarketåStreet,åKnigswinford."," Market Street, Knigswinford.",
2011,," MarketåStreet,åStourbridge"," Market Street, Stourbridge",
2011,," MarketåStreet,åStourbridge"," Market Street, Stourbridge",
2011,," MarketåStreet,Kingswinford"," Market Street,Kingswinford",
2011,,MarriotåRoad,Marriot Road,
2011,,MarriotåRoad,Marriot Road,
2011,,MaryåStevensåPark,Mary Stevens Park,
2011,,MaybrookåHouseåcaråparkåHalesowen,Maybrook House car park Halesowen,
2011,," MeadowfieldsåClose,åWordsley"," Meadowfields Close, Wordsley",
2011,," MerryhillåCentre,åBrierleyåHill"," Merryhill Centre, Brierley Hill",
2011,," MillåStreet,Sedgley"," Mill Street,Sedgley",
2011,," MillåStreet,Sedgley"," Mill Street,Sedgley",
2011,,MooreåStreet,Moore Street,
2011,," NewåRd,åDudley"," New Rd, Dudley",
2011,,NewåRoadåStourbridge,New Road Stourbridge,
2011,,NewåStreetåDudley,New Street Dudley,
2011,," OdeonåCinemaå,åMerryåhill"," Odeon Cinema , Merry hill",
2011,," OdeonåCinemaå,åMerryåhill"," Odeon Cinema , Merry hill",
2011,,outsideåsantanderåhighåstreetåstourbridge,outside santander high street stourbridge,
2011,,ParkåRoadåWrensåNest,Park Road Wrens Nest,
2011,,PlaygroundåatåPrioryåPrimaryåSchool,Playground at Priory Primary School,
2011,," PrincessåRoad,åOldåHill"," Princess Road, Old Hill",
2011,," PrioryåStreet,Dudley"," Priory Street,Dudley",
2011,,RHH,RHH,
2011,," RingåRoadå,ååStourbridge."," Ring Road ,  Stourbridge.",
2011,," RingåRoad,åStourbridge"," Ring Road, Stourbridge",
2011,," RookeryåPark,åPensnett"," Rookery Park, Pensnett",
2011,,salopåstreet,salop street,
2011,,salopåstreet,salop street,
2011,,SedgleyåBullring,Sedgley Bullring,
2011,,SedgleyåConservativeåClub,Sedgley Conservative Club,
